id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1095,The Hand of God,Drama,it,7.6,2,10,2021-11-24,1627,Paolo Sorrentino,"Filippo Scotti, Toni Servillo, Teresa Saponangelo, Luisa Ranieri, Marlon Joubert",,
1096,They Call Me Trinity,"Action, Comedy, Western",it,7.6,1,55,1970-12-22,1298,Enzo Barboni,"Terence Hill, Bud Spencer, Steffen Zacharias, Dan Sturkie, Gisela Hahn",,
1097,The Seven Deadly Sins: Prisoners of the Sky,"Action, Adventure, Fantasy, Animation",ja,7.6,1,39,2018-08-18,1012,Yasuto Nishikata,"Yuki Kaji, Sora Amamiya, Misaki Kuno, Tatsuhisa Suzuki, Jun Fukuyama",,3914227.0
1098,Eat Drink Man Woman,"Comedy, Drama, Romance",zh,7.6,2,3,1994-08-03,333,Ang Lee,"Lung Sihung, Yang Kuei-Mei, Wu Chien-Lien, Wang Yu-wen, Winston Chao",,7294403.0
1100,Dolls,"Drama, Romance",ja,7.6,1,54,2002-10-12,316,Takeshi Kitano,"Miho Kanno, Hidetoshi Nishijima, Tatsuya Mihashi, Chieko Matsubara, Kyoko Fukada",,
1102,Paisan,"Drama, War",it,7.6,2,5,1946-12-10,308,Roberto Rossellini,"Carmela Sazio, Robert Van Loon, Benjamin Emanuel, Raymond Campbell, Harold Wagner",,
1105,Three Wishes for Cinderella,"Fantasy, Family, Romance",cs,7.6,1,22,1973-11-16,327,Václav Vorlíček,"Libuše Šafránková, Pavel Trávníček, Carola Braunbock, Rolf Hoppe, Karin Lesch",580000.0,
1108,Anonymously Yours,"Drama, Romance",es,7.6,1,41,2021-12-10,359,María Torres,"Annie Cabello, Ralf, Estefi Merelles, Harold Azuara, Alicia Vélez",,
1110,A Close Shave,"Family, Animation, Comedy",en,7.6,0,30,1996-03-07,803,Nick Park,"Peter Sallis, Anne Reid",,
1111,Honor Society,Comedy,en,7.6,1,37,2022-07-23,370,Oran Zegman,"Angourie Rice, Gaten Matarazzo, Christopher Mintz-Plasse, Armani Jackson, Amy Keum",20000000.0,
1117,The Consequences of Love,"Drama, Thriller",it,7.6,1,40,2004-09-24,820,Paolo Sorrentino,"Toni Servillo, Olivia Magnani, Adriano Giannini, Antonio Ballerio, Gianna Paola Scaffidi",,
1123,Work It,"Comedy, Music",en,7.6,1,33,2020-08-07,1152,Laura Terruso,"Sabrina Carpenter, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Jordan Fisher",,
1125,East of Eden,Drama,en,7.6,1,55,1955-04-10,738,Elia Kazan,"James Dean, Julie Harris, Raymond Massey, Richard Davalos, Jo Van Fleet",,
1127,The Body,"Thriller, Mystery",es,7.6,1,52,2012-12-21,1245,Oriol Paulo,"Jose Coronado, Hugo Silva, Belén Rueda, Aura Garrido, Cristina Plazas",,
1128,"Ugly, Dirty and Bad","Comedy, Drama",it,7.6,1,55,1976-09-23,304,Ettore Scola,"Nino Manfredi, Maria Luisa Santella, Linda Moretti, Franco Merli, Maria Bosco",,
1129,Angels with Dirty Faces,"Crime, Drama",en,7.6,1,37,1938-11-26,311,Michael Curtiz,"James Cagney, Pat O’Brien, Humphrey Bogart, Ann Sheridan, George Bancroft",,
1130,Desert Flower,Drama,en,7.6,2,0,2009-09-24,418,Sherry Hormann,"Liya Kebede, Sally Hawkins, Craig Parkinson, Meera Syal, Anthony Mackie",,14682943.0
1134,I Can't Think Straight,"Drama, Romance",en,7.5,1,20,2008-06-01,303,Shamim Sarif,"Lisa Ray, Sheetal Sheth, Antonia Frering, Dalip Tahil, Nina Wadia",,40945.0
1140,To All the Boys: Always and Forever,"Romance, Comedy, Drama",en,7.5,1,55,2021-02-12,1893,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Ross Butler",,
1148,Lady Vengeance,"Drama, Thriller",ko,7.5,1,55,2005-07-29,1644,Park Chan-wook,"Lee Young-ae, Choi Min-sik, Kwon Yea-young, Kim Si-hoo, Nam Il-woo",,23803308.0
1149,Fatherhood,"Drama, Comedy",en,7.5,1,49,2021-06-18,1388,Paul Weitz,"Kevin Hart, Melody Hurd, Alfre Woodard, DeWanda Wise, Lil Rel Howery",,
1150,Dragon Ball Z: Bardock - The Father of Goku,"Animation, Action, Science Fiction, Drama, Fantasy",ja,7.5,0,48,1990-10-17,690,Mitsuo Hashimoto,"Masako Nozawa, Kazuyuki Sogabe, Yuko Mita, Takeshi Watabe, Kozo Shioya",,
1151,Lady Snowblood,"Action, Crime, Drama",ja,7.5,1,37,1973-12-01,354,Toshiya Fujita,"Meiko Kaji, Toshio Kurosawa, Masaaki Daimon, Miyoko Akaza, Shinichi Uchida",,
1156,The Ghost and Mrs. Muir,"Romance, Fantasy, Drama",en,7.5,1,45,1947-05-25,301,Joseph L. Mankiewicz,"Gene Tierney, Rex Harrison, George Sanders, Edna Best, Vanessa Brown",,
1162,Teen Titans Go! vs. Teen Titans,"Action, Animation, Comedy, Family, Fantasy, Science Fiction",en,7.5,1,16,2019-07-21,481,Jeff Mednikow,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch",,
1163,Me and Earl and the Dying Girl,"Drama, Comedy",en,7.5,1,45,2015-06-12,2536,Alfonso Gomez-Rejon,"Olivia Cooke, Thomas Mann, RJ Cyler, Connie Britton, Nick Offerman",,
1164,Z-O-M-B-I-E-S 2,"Fantasy, Romance, TV Movie",en,7.5,1,24,2020-06-13,444,Paul Hoen,"Milo Manheim, Meg Donnelly, Chandler Kinney, Trevor Tordjman, Kylee Russell",,
1165,The Blue Umbrella,"Animation, Romance",en,7.5,0,7,2013-02-12,543,Saschka Unseld,Sarah Jaffe,,
1166,Bianca,"Drama, Comedy, Mystery",it,7.5,1,36,1984-02-23,380,Nanni Moretti,"Nanni Moretti, Laura Morante, Roberto Vezzosi, Remo Remotti, Claudio Bigagli",,
1167,The Call,"Thriller, Mystery, Science Fiction",ko,7.5,1,52,2020-11-27,813,Lee Chung-hyun,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryung, Lee El, Park Ho-san",,
