id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
8032,Come to Daddy,"Comedy, Thriller, Mystery",en,5.9,1,36,2019-04-25,518,Ant Timpson,"Elijah Wood, Stephen McHattie, Michael Smiley, Madeleine Sami, Martin Donovan",,117947.0
8034,Southbound,"Fantasy, Thriller, Horror, Science Fiction",en,5.9,1,29,2015-09-17,602,Roxanne Benjamin,"Fabianne Therese, Larry Fessenden, Kate Beahan, Zoe Cooper, Gerald Downey",,35000.0
8046,Closed Circuit,"Mystery, Drama, Crime, Thriller",en,5.9,1,36,2013-08-28,445,John Crowley,"Eric Bana, Rebecca Hall, Ciarán Hinds, Jim Broadbent, Kenneth Cranham",,5750401.0
8052,Cedar Rapids,Comedy,en,5.9,1,27,2011-02-11,412,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr., Stephen Root",,6861102.0
8053,Creep,"Horror, Thriller, Mystery",en,5.9,1,25,2004-08-10,731,Christopher Smith,"Franka Potente, Sean Harris, Vas Blackwood, Ken Campbell, Jeremy Sheffield",,7480424.0
8059,All You Need is Crime,Comedy,it,5.9,1,38,2019-01-10,455,Massimiliano Bruno,"Alessandro Gassmann, Marco Giallini, Gianmarco Tognazzi, Edoardo Leo, Ilenia Pastorelli",,4695495.0
8074,Vidocq,"Fantasy, Action, Thriller, Crime, Science Fiction, Mystery",fr,5.9,1,38,2001-09-18,513,Pitof,"Gérard Depardieu, Guillaume Canet, Inés Sastre, André Dussollier, Édith Scob",,13240767.0
8090,Kidz,Comedy,it,5.9,1,38,2020-01-23,362,Giuseppe Bonito,"Valerio Mastandrea, Paola Cortellesi, Stefano Fresi, Valerio Aprea, Paolo Calabresi",,3700000.0
8095,Absolutely Anything,"Comedy, Science Fiction",en,5.9,1,25,2015-06-26,1437,Terry Jones,"Simon Pegg, Kate Beckinsale, Rob Riggle, Sanjeev Bhaskar, Joanna Lumley",,6303792.0
8099,Wrongfully Accused,"Action, Adventure, Comedy",en,5.9,1,27,1998-07-23,420,Pat Proft,"Leslie Nielsen, Richard Crenna, Kelly LeBrock, Melinda McGraw, Aaron Pearl",,9623329.0
8104,Addicted,"Drama, Thriller",en,5.9,1,45,2014-10-10,403,Bille Woodruff,"Boris Kodjoe, Brandon Gonzales, Cameron Mills, Emayatzy Corinealdi, Garrett Hines",,17534314.0
8118,The Dyatlov Pass Incident,"Thriller, Mystery",en,5.9,1,40,2013-02-27,647,Renny Harlin,"Holly Goss, Matt Stokoe, Luke Albright, Ryan Hawley, Gemma Atkinson",,5217347.0
8120,Because I Said So,"Romance, Comedy",en,5.9,1,42,2007-02-02,621,Michael Lehmann,"Diane Keaton, Mandy Moore, Gabriel Macht, Tom Everett Scott, Lauren Graham",,69485490.0
8129,King Cobra,"Crime, Drama",en,5.9,1,33,2016-10-21,464,Justin Kelly,"Garrett Clayton, Christian Slater, Keegan Allen, James Franco, Alicia Silverstone",,81757.0
8148,Beyond the Reach,Thriller,en,5.9,1,35,2014-09-06,356,Jean-Baptiste Léonetti,"Michael Douglas, Jeremy Irvine, Hanna Mangan Lawrence, Ronny Cox, Martin Palmer",,45895.0
8157,Cooties,"Comedy, Horror",en,5.9,1,28,2014-10-10,733,Cary Murnion,"Elijah Wood, Alison Pill, Rainn Wilson, Jack McBrayer, Nasim Pedrad",,581011.0
8165,The Solitude of Prime Numbers,Drama,it,5.9,1,58,2010-09-10,380,Saverio Costanzo,"Alba Rohrwacher, Luca Marinelli, Aurora Ruffino, Arianna Nastro, Tommaso Maria Neri",,5505962.0
8166,Greenberg,"Comedy, Drama, Romance",en,5.9,1,47,2010-03-26,552,Noah Baumbach,"Ben Stiller, Greta Gerwig, Rhys Ifans, Jennifer Jason Leigh, Mark Duplass",,6344112.0
8169,Playing It Cool,"Comedy, Romance",en,5.9,1,34,2014-09-26,741,Justin Reardon,"Chris Evans, Michelle Monaghan, Topher Grace, Aubrey Plaza, Luke Wilson",,1323415.0
8173,Butter,Comedy,en,5.9,1,30,2012-10-05,391,Jim Field Smith,"Jennifer Garner, Yara Shahidi, Hugh Jackman, Ty Burrell, Olivia Wilde",,175706.0
8177,Herbie Goes to Monte Carlo,"Romance, Comedy, Family, Action, Adventure",en,5.9,1,45,1977-06-24,312,Vincent McEveety,"Dean Jones, Don Knotts, Julie Sommars, Jacques Marin, Roy Kinnear",,29000000.0
8192,Tamara Drewe,"Comedy, Romance",en,5.9,1,51,2010-07-14,433,Stephen Frears,"Gemma Arterton, Roger Allam, Bill Camp, Dominic Cooper, Jessica Barden",,12037973.0
8218,Into the Forest,"Drama, Science Fiction",en,5.9,1,41,2016-06-03,661,Patricia Rozema,"Elliot Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Michael Eklund",,9995.0
8237,3 Men and a Little Lady,"Family, Comedy",en,5.9,1,44,1990-11-21,519,Emile Ardolino,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis, Robin Weisman",,71600000.0
8242,Antigang,"Action, Drama",fr,5.8,1,32,2015-08-19,338,Benjamin Rocher,"Jean Reno, Alban Lenoir, Caterina Murino, Oumar Diaw, Stéfi Celma",,3056677.0
8259,Night Moves,"Thriller, Drama",en,5.8,1,52,2014-04-23,327,Kelly Reichardt,"Jesse Eisenberg, Dakota Fanning, Peter Sarsgaard, Alia Shawkat, Logan Miller",,271755.0
8262,Prey,"Adventure, Horror, Thriller",en,5.8,1,32,2007-05-18,369,Darrell James Roodt,"Bridget Moynahan, Peter Weller, Carly Schroeder, Jamie Bartlett, Conner Dowds",,3643652.0
8270,In Bed with Victoria,"Comedy, Drama, Romance",fr,5.8,1,37,2016-09-14,479,Justine Triet,"Virginie Efira, Vincent Lacoste, Melvil Poupaud, Laurent Poitrenaux, Laure Calamy",,4971428.0
8274,Open Season 2,"Adventure, Animation, Comedy, Family",en,5.8,1,16,2008-09-24,1199,Matthew O'Callaghan,"Joel McHale, Mike Epps, Cody Cameron, Georgia Engel, Jane Krakowski",,8700000.0
8276,Shadow in the Cloud,"Horror, Action, War",en,5.8,1,23,2020-12-31,960,Roseanne Liang,"Chloë Grace Moretz, Nick Robinson, Beulah Koale, Taylor John Smith, Callan Mulvey",,1054290.0
8280,The Presidio,"Action, Crime, Mystery, Thriller",en,5.8,1,37,1988-06-10,328,Peter Hyams,"Sean Connery, Mark Harmon, Meg Ryan, Jack Warden, Mark Blum",,20324096.0
8281,Fading Gigolo,Comedy,en,5.8,1,30,2013-09-07,574,John Turturro,"John Turturro, Woody Allen, Vanessa Paradis, Liev Schreiber, Sharon Stone",,2681345.0
8282,The Two Faces of January,Thriller,en,5.8,1,36,2014-05-16,665,Hossein Amini,"Viggo Mortensen, Kirsten Dunst, Oscar Isaac, Yiğit Özşener, Daisy Bevan",,4507463.0
8284,13,"Drama, Thriller",en,5.8,1,31,2010-03-12,799,Géla Babluani,"Sam Riley, Jason Statham, Mickey Rourke, Ray Winstone, 50 Cent",,3317662.0
8289,Ava,"Action, Thriller, Crime",en,5.8,1,36,2020-07-02,2554,Tate Taylor,"Jessica Chastain, John Malkovich, Common, Colin Farrell, Geena Davis",,2987741.0
8295,7 Days in Entebbe,"Thriller, Drama, Crime",en,5.8,1,47,2018-03-15,408,José Padilha,"Rosamund Pike, Daniel Brühl, Eddie Marsan, Lior Ashkenazi, Nonso Anozie",,9196740.0
8303,Pet,"Horror, Thriller",en,5.8,1,34,2016-09-24,648,Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy, Da'Vone McDonald, Nathan Parsons",,22003.0
8304,The Family Fang,"Comedy, Drama, Mystery",en,5.8,1,45,2016-04-16,320,Jason Bateman,"Jason Bateman, Nicole Kidman, Christopher Walken, Maryann Plunkett, Marin Ireland",,262921.0
